 ;07:10-08:00;08:00-08:50;08:50-09:40;09:40-10:30;10:30-11:20;11:20-12:10;12:10-13:00;13:00-13:50;13:50-14:40;14:40-15:30;15:30-16:20;16:20-17:10;17:10-18:00;18:00-18:50;18:50-19:40;19:40-20:30;20:30-21:20;21:20-22:10;
A03;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
B01;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
B02;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
B03;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
B04;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
B09;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
I04;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
I06;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
I08;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
I09;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
I10;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
I11;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
I12;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
I13;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
I14;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
I15;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
K03;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
K04;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
K05;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
K09;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
K10;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
K11;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
K12;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
K13;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
K14;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
K15;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
K16;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
LIP01;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
LIP02;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
LIP03;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
LIP07;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
J01;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
J08;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
LMC;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;
LMS;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;